         54468576 function calls (54468080 primitive calls) in 325.338 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 numbers.py:1(<module>)
       48    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.000    0.000 inspect.py:2392(_signature_from_function)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:694(_classify_pyc)
      176    0.000    0.000    0.000    0.000 __init__.py:840(filter)
       84    0.000    0.000    0.000    0.000 _parser.py:292(tell)
       42    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
        9    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1377(_get_parent_path)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1595(__init__)
       73    0.000    0.000    0.000    0.000 _parser.py:175(append)
        1    0.000    0.000    0.000    0.000 inspect.py:3324(__str__)
       89    0.000    0.000    0.000    0.000 {built-in method time.time_ns}
        1    0.000    0.000    0.000    0.000 inspect.py:3327(format)
        9    0.000    0.000    0.000    0.000 dataclasses.py:768(_get_field)
       65    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7f6d492e02e0}
        1    0.000    0.000    0.000    0.000 input_port.py:1(<module>)
      218    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      218    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
        4    0.000    0.000    0.000    0.000 typing.py:426(inner)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        2    0.000    0.000    0.000    0.000 typing.py:1646(__getitem__)
       88    0.000    0.000    0.000    0.000 __init__.py:1765(isEnabledFor)
       24    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
      175    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
       88    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       15    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1360(__init__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
       51    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       88    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        4    0.000    0.000    0.000    0.000 __init__.py:2130(getLogger)
       88    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1230(path_stats)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
        3    0.000    0.000    0.000    0.000 {built-in method posix.replace}
       21    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
        2    0.000    0.000    0.000    0.000 typing.py:1670(copy_with)
       88    0.000    0.000    0.000    0.000 threading.py:1097(name)
      146    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        4    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
        9    0.000    0.000    0.000    0.000 inspect.py:2850(__str__)
        4    0.000    0.000    0.000    0.000 __init__.py:1362(getLogger)
        6    0.000    0.000    0.000    0.000 enum.py:1607(__and__)
        2    0.000    0.000    0.000    0.000 typing.py:1435(__init__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:2005(basicConfig)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1672(_fill_cache)
       88    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        4    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
        4    0.000    0.000    0.000    0.000 _local.py:227(__str__)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       17    0.000    0.000    0.000    0.000 enum.py:695(__call__)
       10    0.000    0.000    0.000    0.000 inspect.py:2763(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _sqlite3.connect}
       42    0.000    0.000    0.000    0.000 _parser.py:82(groups)
       88    0.000    0.000    0.000    0.000 __init__.py:391(getMessage)
        6    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1404(__len__)
        3    0.000    0.000    0.000    0.000 _local.py:289(drive)
