         132469137 function calls (132468628 primitive calls) in 546.841 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 input_port.py:1(<module>)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
        9    0.000    0.000    0.000    0.000 dataclasses.py:768(_get_field)
        1    0.000    0.000    0.000    0.000 inspect.py:3324(__str__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1082(source_to_code)
        1    0.000    0.000    0.000    0.000 inspect.py:3327(format)
        4    0.000    0.000    0.000    0.000 typing.py:426(inner)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       24    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
      177    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       88    0.000    0.000    0.000    0.000 __init__.py:1765(isEnabledFor)
        2    0.000    0.000    0.000    0.000 typing.py:1646(__getitem__)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1235(_cache_bytecode)
       51    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
       88    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
       88    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       88    0.000    0.000    0.000    0.000 {built-in method posix.getpid}
       33    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
       15    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1360(__init__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1240(set_data)
