         60469805 function calls (60469309 primitive calls) in 376.325 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.000    0.000 __init__.py:2005(basicConfig)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1672(_fill_cache)
        2    0.000    0.000    0.000    0.000 typing.py:1670(copy_with)
       42    0.000    0.000    0.000    0.000 _parser.py:82(groups)
        2    0.000    0.000    0.000    0.000 typing.py:1435(__init__)
        4    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
      126    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       17    0.000    0.000    0.000    0.000 enum.py:695(__call__)
        9    0.000    0.000    0.000    0.000 inspect.py:2850(__str__)
        4    0.000    0.000    0.000    0.000 _local.py:227(__str__)
        6    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1404(__len__)
        1    0.000    0.000    0.000    0.000 {built-in method _sqlite3.connect}
        1    0.000    0.000    0.000    0.000 csv.py:145(DictReader)
       10    0.000    0.000    0.000    0.000 inspect.py:2763(__init__)
        3    0.000    0.000    0.000    0.000 _local.py:289(drive)
        6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
        1    0.000    0.000    0.000    0.000 dataclasses.py:1222(_add_slots)
        2    0.000    0.000    0.000    0.000 typing.py:2066(__new__)
        2    0.000    0.000    0.000    0.000 inspect.py:3051(__init__)
        1    0.000    0.000    0.000    0.000 csv_reader.py:11(CsvReader)
        1    0.000    0.000    0.000    0.000 dataclasses.py:610(_init_fn)
        1    0.000    0.000    0.000    0.000 sqlite_writer.py:9(SqliteWriter)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1367(_find_parent_path_names)
     15/6    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       83    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        4    0.000    0.000    0.000    0.000 _abc.py:130(with_segments)
       21    0.000    0.000    0.000    0.000 enum.py:1589(_get_value)
       10    0.000    0.000    0.000    0.000 _compiler.py:389(_mk_bitmap)
       80    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.000    0.000 enum.py:1596(__or__)
        1    0.000    0.000    0.000    0.000 threading.py:1353(__init__)
       17    0.000    0.000    0.000    0.000 enum.py:1156(__new__)
       81    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        2    0.000    0.000    0.000    0.000 typing.py:2085(__init__)
     15/6    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        7    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:671(_check_name_wrapper)
       12    0.000    0.000    0.000    0.000 typing.py:1380(__setattr__)
        5    0.000    0.000    0.000    0.000 _local.py:498(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method _imp.get_frozen_object}
        7    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
        1    0.000    0.000    0.000    0.000 _local.py:329(parent)
        1    0.000    0.000    0.000    0.000 inspect.py:2114(_signature_bound_method)
       10    0.000    0.000    0.000    0.000 inspect.py:1441(formatannotation)
        3    0.000    0.000    0.000    0.000 _local.py:148(__truediv__)
        3    0.000    0.000    0.000    0.000 inspect.py:2008(_signature_get_user_defined_method)
       65    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       18    0.000    0.000    0.000    0.000 {built-in method _imp.source_hash}
        2    0.000    0.000    0.000    0.000 typing.py:1939(_get_protocol_attrs)
        1    0.000    0.000    0.000    0.000 dataclasses.py:668(_frozen_get_del_attr)
        2    0.000    0.000    0.000    0.000 __init__.py:931(__init__)
       66    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:727(_validate_timestamp_pyc)
       57    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        6    0.000    0.000    0.000    0.000 dataclasses.py:437(add_fn)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
        1    0.000    0.000    0.000    0.000 warnings.py:1(<module>)
        2    0.000    0.000    0.000    0.000 typing.py:1319(__init__)
        4    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       45    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        5    0.000    0.000    0.000    0.000 _local.py:117(__init__)
        1    0.000    0.000    0.000    0.000 inspect.py:3119(replace)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       29    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
        1    0.000    0.000    0.000    0.000 enum.py:1459(_missing_)
        4    0.000    0.000    0.000    0.000 __init__.py:1410(_fixupParents)
        3    0.000    0.000    0.000    0.000 _local.py:277(_raw_path)
       56    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1601(<genexpr>)
      7/5    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
       13    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
       12    0.000    0.000    0.000    0.000 typing.py:1306(_is_dunder)
        1    0.000    0.000    0.000    0.000 fnmatch.py:1(<module>)
       45    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
       42    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       45    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        9    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       40    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        5    0.000    0.000    0.000    0.000 inspect.py:764(unwrap)
       45    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
       45    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
       43    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
        5    0.000    0.000    0.000    0.000 __init__.py:1478(__init__)
        1    0.000    0.000    0.000    0.000 functools.py:677(cache)
       29    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
        2    0.000    0.000    0.000    0.000 typing.py:2211(__init_subclass__)
        1    0.000    0.000    0.000    0.000 __future__.py:1(<module>)
        2    0.000    0.000    0.000    0.000 inspect.py:176(get_annotations)
       42    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
        3    0.000    0.000    0.000    0.000 _local.py:257(_parse_path)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
       27    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:1278(__init__)
        1    0.000    0.000    0.000    0.000 numbers.py:57(Complex)
       37    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       12    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
        1    0.000    0.000    0.000    0.000 threading.py:870(__init__)
        2    0.000    0.000    0.000    0.000 <frozen posixpath>:72(join)
        1    0.000    0.000    0.000    0.000 __init__.py:1491(setLevel)
       36    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
